Well_ID,Longitude,Latitude,GWLm,altitude_m,well_depth_m,bottom_elevation_m,VHG_predicted_raw,VHG_predicted,VHG_observed,VHG_final,has_observed_VHG,period
285959095192701,-95.324000,29.000000,-21.710000,1.511808,76.504800,-74.992992,0.065311,0.065311,,0.065311,False,1980-1985
290000095192601,-95.324000,29.000000,-23.290000,1.487424,71.932800,-70.445376,0.063636,0.063636,,0.063636,False,1980-1985
290000095192602,-95.325000,29.000000,-23.260000,1.517904,70.713600,-69.195696,0.062573,0.062573,,0.062573,False,1980-1985
290100095253201,-95.426000,29.016000,-27.360000,2.971800,101.193600,-98.221800,0.063450,0.063450,,0.063450,False,1980-1985
290125095243901,-95.411000,29.024000,-22.030000,4.553712,76.809600,-72.255888,0.054371,0.054371,,0.054371,False,1980-1985
290126095244901,-95.414000,29.024000,-18.400000,4.468368,78.333600,-73.865232,0.050321,0.050321,,0.050321,False,1980-1985
290130095243901,-95.411000,29.025000,-21.720000,4.553712,97.536000,-92.982288,0.054768,0.054768,,0.054768,False,1980-1985
290134095231001,-95.386000,29.026000,-16.700000,3.084576,64.617600,-61.533024,0.060931,0.060931,,0.060931,False,1980-1985
290158095233502,-95.393000,29.033000,-15.770000,3.697224,71.323200,-67.625976,0.064527,0.064527,,0.064527,False,1980-1985
290159095262701,-95.441000,29.033000,-36.570000,3.974592,101.193600,-97.219008,0.053309,0.053309,,0.053309,False,1980-1985
290209095265101,-95.448000,29.036000,-31.280000,3.685032,98.450400,-94.765368,0.066699,0.066699,,0.066699,False,1980-1985
290245095261201,-95.437000,29.046000,-34.790000,5.413248,106.070400,-100.657152,0.058530,0.058530,,0.058530,False,1980-1985
290320095253801,-95.427000,29.056000,-30.360000,5.199888,103.022400,-97.822512,0.066789,0.066789,,0.066789,False,1980-1985
290429095072803,-95.125000,29.075000,-9.310000,1.514856,87.172800,-85.657944,0.072858,0.072858,,0.072858,False,1980-1985
290654095321001,-95.536000,29.115000,1.580000,7.650480,65.532000,-57.881520,0.135287,0.135287,,0.135287,False,1980-1985
290754095033502,-95.060000,29.132000,0.290000,1.524000,91.440000,-89.916000,0.108982,0.108982,,0.108982,False,1980-1985
290818095025201,-95.048000,29.139000,-2.650000,1.511808,91.440000,-89.928192,0.102672,0.102672,,0.102672,False,1980-1985
290834095384201,-95.645000,29.143000,-9.600000,10.448544,200.863200,-190.414656,0.115435,0.115435,,0.115435,False,1980-1985
290839095411901,-95.689000,29.144000,5.150000,11.155680,198.120000,-186.964320,0.129618,0.129618,,0.129618,False,1980-1985
290846095385301,-95.648000,29.146000,-15.510000,10.658856,192.024000,-181.365144,0.139789,0.139789,,0.139789,False,1980-1985
290857095334801,-95.564000,29.149000,0.720000,6.193536,125.272800,-119.079264,0.117832,0.117832,,0.117832,False,1980-1985
290939095480601,-95.802000,29.161000,2.700000,15.230856,152.400000,-137.169144,0.104355,0.104355,,0.104355,False,1980-1985
291014095375001,-95.631000,29.171000,-14.810000,10.128504,198.120000,-187.991496,0.136037,0.136037,,0.136037,False,1980-1985
291030095261001,-95.436000,29.175000,-26.560000,8.936736,268.528800,-259.592064,0.162540,0.150000,,0.150000,False,1980-1985
291055095482501,-95.807000,29.182000,3.050000,16.136112,121.615200,-105.479088,0.104955,0.104955,,0.104955,False,1980-1985
291114095213001,-95.359000,29.188000,2.160000,4.575048,102.108000,-97.532952,0.098862,0.098862,,0.098862,False,1980-1985
291138095261501,-95.438000,29.194000,-27.910000,9.131808,249.631200,-240.499392,0.169757,0.150000,0.188776,0.188776,True,1980-1985
291157095271901,-95.456000,29.199000,5.580000,10.058400,73.152000,-63.093600,0.157463,0.150000,0.168411,0.168411,True,1980-1985
291201095200701,-95.336000,29.201000,-17.240000,4.328160,292.608000,-288.279840,0.053926,0.053926,,0.053926,False,1980-1985
291204095264001,-95.445000,29.201000,-20.010000,10.027920,245.973600,-235.945680,0.146460,0.146460,0.148046,0.148046,True,1980-1985
291210095484001,-95.811000,29.203000,4.330000,16.809720,144.170400,-127.360680,0.125586,0.125586,,0.125586,False,1980-1985
291228095283001,-95.475000,29.208000,2.020000,10.515600,64.008000,-53.492400,0.139280,0.139280,,0.139280,False,1980-1985
291545095202401,-95.341000,29.263000,-5.100000,7.924800,156.667200,-148.742400,0.077048,0.077048,,0.077048,False,1980-1985
291641095151901,-95.256000,29.278000,-1.670000,4.456176,102.108000,-97.651824,0.084375,0.084375,,0.084375,False,1980-1985
291759095391401,-95.654000,29.300000,-10.470000,16.852392,146.913600,-130.061208,0.116129,0.116129,,0.116129,False,1980-1985
291808095261701,-95.438000,29.302000,-15.170000,12.271248,356.006400,-343.735152,0.104947,0.104947,,0.104947,False,1980-1985
291859095152601,-95.257000,29.317000,-14.760000,7.549896,106.680000,-99.130104,0.076853,0.076853,,0.076853,False,1980-1985
291919095485101,-95.814000,29.322000,-5.350000,22.783800,265.480800,-242.697000,0.143474,0.143474,,0.143474,False,1980-1985
291948095135401,-95.232000,29.330000,-19.060000,6.220968,121.920000,-115.699032,0.066818,0.066818,,0.066818,False,1980-1985
291949095024801,-95.047000,29.331000,-22.430000,6.016752,230.428800,-224.412048,0.008131,0.008131,,0.008131,False,1980-1985
292007094575401,-94.965000,29.336000,-27.010000,1.972056,193.243200,-191.271144,-0.017179,-0.017179,,-0.017179,False,1980-1985
292037095010501,-95.018000,29.344000,-24.270000,4.270248,329.184000,-324.913752,-0.049056,-0.049056,-0.043109,-0.043109,True,1980-1985
292050095010501,-95.018000,29.348000,-26.230000,4.888992,240.792000,-235.903008,-0.037739,-0.037739,-0.022020,-0.022020,True,1980-1985
292050095010801,-95.019000,29.348000,-31.360000,4.980432,219.456000,-214.475568,-0.055600,-0.055600,-0.064199,-0.064199,True,1980-1985
292054095171901,-95.289000,29.349000,-12.320000,9.067800,144.170400,-135.102600,0.049957,0.049957,,0.049957,False,1980-1985
292109094562901,-94.942000,29.353000,-35.990000,3.066288,195.986400,-192.920112,-0.143548,-0.143548,-0.144946,-0.144946,True,1980-1985
292138095435801,-95.733000,29.361000,-6.510000,22.799040,364.236000,-341.436960,0.093999,0.093999,0.109454,0.109454,True,1980-1985
292144095033601,-95.060000,29.363000,-25.540000,6.105144,269.443200,-263.338056,0.022798,0.022798,,0.022798,False,1980-1985
292151095035901,-95.067000,29.364000,-25.480000,6.245352,270.662400,-264.417048,0.022798,0.022798,,0.022798,False,1980-1985
292155095041001,-95.070000,29.366000,-23.920000,6.105144,266.090400,-259.985256,0.019471,0.019471,,0.019471,False,1980-1985
